Time	Value
0	0
0.00166666666666667	6
0.00333333333333333	5
0.005	4
0.00666666666666667	8
0.00833333333333333	6
0.01	3
0.0116666666666667	8
0.0133333333333333	14
0.015	14
0.0166666666666667	10
0.0183333333333333	12
0.02	15
0.0216666666666667	11
0.0233333333333333	14
0.025	11
0.0266666666666667	11
0.0283333333333333	9
0.03	7
0.0316666666666667	9
0.0333333333333333	8
0.035	3
0.0366666666666667	6
0.0383333333333333	12
0.04	12
0.0416666666666667	10
0.0433333333333333	16
0.045	22
0.0466666666666667	20
0.0483333333333333	16
0.05	10
0.0516666666666667	14
0.0533333333333333	13
0.055	12
0.0566666666666667	16
0.0583333333333333	12
0.06	9
0.0616666666666667	6
0.0633333333333333	3
0.065	1
0.0666666666666667	5
0.0683333333333333	12
0.07	12
0.0716666666666667	12
0.0733333333333333	14
0.075	15
0.0766666666666667	9
0.0783333333333333	10
0.08	12
0.0816666666666667	12
0.0833333333333333	11
0.085	17
0.0866666666666667	16
0.0883333333333333	9
0.09	9
0.0916666666666667	4
0.0933333333333333	6
0.095	9
0.0966666666666667	16
0.0983333333333333	19
0.1	14
0.101666666666667	17
0.103333333333333	18
0.105	12
0.106666666666667	13
0.108333333333333	10
0.11	11
0.111666666666667	11
0.113333333333333	12
0.115	14
0.116666666666667	18
0.118333333333333	17
0.12	15
0.121666666666667	10
0.123333333333333	11
0.125	13
0.126666666666667	10
0.128333333333333	13
0.13	17
0.131666666666667	16
0.133333333333333	17
0.135	21
0.136666666666667	18
0.138333333333333	15
0.14	15
0.141666666666667	13
0.143333333333333	12
0.145	11
0.146666666666667	12
0.148333333333333	15
0.15	17
0.151666666666667	22
0.153333333333333	22
0.155	18
0.156666666666667	19
0.158333333333333	24
0.16	28
0.161666666666667	23
0.163333333333333	18
0.165	23
0.166666666666667	23
0.168333333333333	24
0.17	26
0.171666666666667	33
0.173333333333333	38
0.175	28
0.176666666666667	26
0.178333333333333	29
0.18	26
0.181666666666667	24
0.183333333333333	19
0.185	26
0.186666666666667	31
0.188333333333333	33
0.19	29
0.191666666666667	28
0.193333333333333	26
0.195	22
0.196666666666667	20
0.198333333333333	25
0.2	29
0.201666666666667	31
0.203333333333333	31
0.205	27
0.206666666666667	33
0.208333333333333	38
0.21	36
0.211666666666667	38
0.213333333333333	36
0.215	39
0.216666666666667	36
0.218333333333333	33
0.22	31
0.221666666666667	30
0.223333333333333	29
0.225	30
0.226666666666667	39
0.228333333333333	35
0.23	27
0.231666666666667	28
0.233333333333333	28
0.235	30
0.236666666666667	34
0.238333333333333	30
0.24	33
0.241666666666667	38
0.243333333333333	47
0.245	48
0.246666666666667	47
0.248333333333333	47
0.25	42
0.251666666666667	39
0.253333333333333	39
0.255	42
0.256666666666667	40
0.258333333333333	35
0.26	37
0.261666666666667	40
0.263333333333333	43
0.265	42
0.266666666666667	37
0.268333333333333	38
0.27	38
0.271666666666667	40
0.273333333333333	41
0.275	38
0.276666666666667	45
0.278333333333333	47
0.28	48
0.281666666666667	48
0.283333333333333	42
0.285	43
0.286666666666667	43
0.288333333333333	43
0.29	45
0.291666666666667	43
0.293333333333333	42
0.295	35
0.296666666666667	35
0.298333333333333	34
0.3	34
0.301666666666667	38
0.303333333333333	40
0.305	40
0.306666666666667	42
0.308333333333333	43
0.31	35
0.311666666666667	35
0.313333333333333	40
0.315	45
0.316666666666667	44
0.318333333333333	41
0.32	36
0.321666666666667	33
0.323333333333333	31
0.325	32
0.326666666666667	36
0.328333333333333	41
0.33	44
0.331666666666667	36
0.333333333333333	28
0.335	26
0.336666666666667	31
0.338333333333333	36
0.34	36
0.341666666666667	38
0.343333333333333	39
0.345	39
0.346666666666667	40
0.348333333333333	38
0.35	38
0.351666666666667	35
0.353333333333333	33
0.355	25
0.356666666666667	23
0.358333333333333	24
0.36	26
0.361666666666667	31
0.363333333333333	32
0.365	32
0.366666666666667	28
0.368333333333333	25
0.37	29
0.371666666666667	25
0.373333333333333	23
0.375	28
0.376666666666667	31
0.378333333333333	30
0.38	33
0.381666666666667	33
0.383333333333333	31
0.385	32
0.386666666666667	29
0.388333333333333	30
0.39	31
0.391666666666667	26
0.393333333333333	24
0.395	28
0.396666666666667	31
0.398333333333333	30
0.4	27
0.401666666666667	25
0.403333333333333	28
0.405	28
0.406666666666667	25
0.408333333333333	23
0.41	26
0.411666666666667	28
0.413333333333333	30
0.415	31
0.416666666666667	28
0.418333333333333	26
0.42	21
0.421666666666667	25
0.423333333333333	28
0.425	23
0.426666666666667	27
0.428333333333333	33
0.43	29
0.431666666666667	23
0.433333333333333	20
0.435	23
0.436666666666667	26
0.438333333333333	26
0.44	25
0.441666666666667	19
0.443333333333333	19
0.445	22
0.446666666666667	26
0.448333333333333	25
0.45	25
0.451666666666667	26
0.453333333333333	26
0.455	27
0.456666666666667	23
0.458333333333333	20
0.46	20
0.461666666666667	21
0.463333333333333	31
0.465	32
0.466666666666667	30
0.468333333333333	29
0.47	28
0.471666666666667	24
0.473333333333333	28
0.475	24
0.476666666666667	20
0.478333333333333	22
0.48	24
0.481666666666667	28
0.483333333333333	28
0.485	29
0.486666666666667	27
0.488333333333333	26
0.49	27
0.491666666666667	25
0.493333333333333	26
0.495	30
0.496666666666667	32
0.498333333333333	30
0.5	22
0.501666666666667	21
0.503333333333333	23
0.505	22
0.506666666666667	24
0.508333333333333	25
0.51	27
0.511666666666667	27
0.513333333333333	23
0.515	19
0.516666666666667	15
0.518333333333333	19
0.52	23
0.521666666666667	22
0.523333333333333	23
0.525	21
0.526666666666667	22
0.528333333333333	25
0.53	25
0.531666666666667	22
0.533333333333333	20
0.535	20
0.536666666666667	19
0.538333333333333	18
0.54	25
0.541666666666667	28
0.543333333333333	24
0.545	21
0.546666666666667	22
0.548333333333333	27
0.55	27
0.551666666666667	21
0.553333333333333	19
0.555	19
0.556666666666667	21
0.558333333333333	23
0.56	28
0.561666666666667	26
0.563333333333333	25
0.565	25
0.566666666666667	21
0.568333333333333	20
0.57	20
0.571666666666667	12
0.573333333333333	15
0.575	23
0.576666666666667	25
0.578333333333333	23
0.58	25
0.581666666666667	23
0.583333333333333	18
0.585	16
0.586666666666667	15
0.588333333333333	16
0.59	22
0.591666666666667	18
0.593333333333333	18
0.595	25
0.596666666666667	23
0.598333333333333	18
0.6	21
0.601666666666667	33
0.603333333333333	24
0.605	17
0.606666666666667	20
0.608333333333333	18
0.61	13
0.611666666666667	10
0.613333333333333	11
0.615	13
0.616666666666667	12
0.618333333333333	14
0.62	13
0.621666666666667	11
0.623333333333333	13
0.625	11
0.626666666666667	7
0.628333333333333	7
0.63	8
0.631666666666667	14
0.633333333333333	18
0.635	18
0.636666666666667	18
0.638333333333333	15
0.64	16
0.641666666666667	14
0.643333333333333	19
0.645	24
0.646666666666667	22
0.648333333333333	19
0.65	23
0.651666666666667	24
0.653333333333333	17
0.655	14
0.656666666666667	18
0.658333333333333	17
0.66	16
0.661666666666667	16
0.663333333333333	16
0.665	22
0.666666666666667	21
0.668333333333333	21
0.67	27
0.671666666666667	27
0.673333333333333	22
0.675	20
0.676666666666667	21
0.678333333333333	20
0.68	18
0.681666666666667	19
0.683333333333333	16
0.685	17
0.686666666666667	20
0.688333333333333	20
0.69	25
0.691666666666667	19
0.693333333333333	19
0.695	17
0.696666666666667	19
0.698333333333333	21
0.7	20
0.701666666666667	23
0.703333333333333	23
0.705	23
0.706666666666667	26
0.708333333333333	24
0.71	28
0.711666666666667	29
0.713333333333333	22
0.715	21
0.716666666666667	16
0.718333333333333	17
0.72	25
0.721666666666667	22
0.723333333333333	19
0.725	23
0.726666666666667	20
0.728333333333333	20
0.73	20
0.731666666666667	17
0.733333333333333	18
0.735	23
0.736666666666667	22
0.738333333333333	19
0.74	19
0.741666666666667	18
0.743333333333333	25
0.745	28
0.746666666666667	27
0.748333333333333	20
0.75	15
0.751666666666667	19
0.753333333333333	26
0.755	28
0.756666666666667	27
0.758333333333333	27
0.76	26
0.761666666666667	19
0.763333333333333	16
0.765	21
0.766666666666667	18
0.768333333333333	15
0.77	20
0.771666666666667	20
0.773333333333333	18
0.775	19
0.776666666666667	23
0.778333333333333	23
0.78	26
0.781666666666667	26
0.783333333333333	22
0.785	16
0.786666666666667	11
0.788333333333333	11
0.79	13
0.791666666666667	15
0.793333333333333	20
0.795	21
